"","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","ATSm1","ATSm2","ATSm5","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","fragC","HybRatio","Kier2","khs.aasC","khs.aaaC","khs.aaN","khs.ssO","khs.sF","khs.sCl","MDEC.11","MDEC.12","MDEC.13","MDEC.14","MDEC.22","MDEC.23","MDEC.24","MDEC.33","MDEO.11","topoShape","TopoPSA","WTPT.2","WTPT.4","WTPT.5","naAromAtom","nBase","nAtomLC","nAtomP","nAtomLAC","MLogP","nRotB","apol","nHBAcc"
"2",0.47779688520192,-0.310141796642778,0.14073458798062,-0.0632287635018363,-0.0490251238971857,23.8039897844677,24.0191879229508,28.9717844881673,1,8,0,1,0,0,99.07,0.0909090909090909,5.78,5,0,1,0,2,0,0,0.9856032998392,1.70637422737309,0,2.52015251038149,10.1953807844314,0,4.95188170109725,0,1,40.09,2.04727297575997,0,15.8737992619556,12,0,0,16,0,2.01,2,27.734,4
"4",0.446560217009064,-0.324802461312877,0.18017188080127,-0.0678861459375799,0.00108239768407505,42.4378752400457,48.6405353421137,49.8665078532446,2,8,0,3,1,1,139.11,0.3125,6.76801332778009,2,0,0,0,5,0,0.595275394488075,2.84009774124569,4.73337449926806,0,4.16080493330087,11.9970904008098,0,5.34359098022515,0,0.857142857142857,37.08,1.99548271871911,0,16.1066657117673,6,7,5,16,3,2.01,5,39.345,4
"5",0.315953340526581,-0.228253009734775,0.132628310784903,-0.0811262788404451,0.036049763960278,31.5128514142312,28.8073883393386,37.7729437634834,2,8,0,1,3,1,163.06,0.333333333333333,6.48148148148148,2,0,0,0,0,1,0,1.34697184659232,1.85189083826896,0,6.1156846529862,14.52707952397,0,5.65131613988432,0,0.833333333333333,40.09,2.0575061918772,0,16.1074783097048,6,5,0,16,0,2.56,4,35.84,4
"6",0.490380271500416,-0.301937553672243,0.078767008887147,-0.0300459483330646,0.00699940591475605,23.8039897844677,24.0191879229508,28.9717844881673,1,8,0,1,0,0,99.07,0.0909090909090909,5.78,5,0,1,0,2,0,0,0.9856032998392,1.70637422737309,0,2.8128006189365,9.47535231767116,0,5.32817333324794,0,1,40.09,2.04733384354002,0,15.8750195481316,12,0,0,16,0,2.01,2,27.734,4
"7",0.497547044436726,-0.324095500213292,0.1381997438398,-0.154376616576958,0.150686315363139,32.2873204497721,28.4715722936037,33.7728376342896,2,8,0,2,1,0,114.07,0.285714285714286,7.71349862258953,2,0,0,1,0,1,0.111111111111111,2.31777125910336,2.38647351313894,0,5.13428554978348,12.1743321048717,0,4.22316474219039,0,0.857142857142857,49.32,2.04425836307441,2.73035844230185,16.1178849451358,6,5,4,16,2,2.34,5,34.882,5
"9",0.434272357126022,-0.295025498724452,0.0671343965904733,0.0331483532831787,-0.0319247042407263,23.1598818076589,25.9941831981654,30.0741241019948,4,8,1,1,0,0,156.06,0.0666666666666667,6.24567474048443,5,2,5,0,0,0,0,0.951492870419838,1.87575065534856,0,6.29642360261365,12.9105923467283,0,6.88903153874512,0,1,37.08,2.09755429300363,0,18.6308072123537,19,0,0,20,0,2.45,2,33,5
"10",0.413445759744145,-0.298082945289284,0.131147356667594,-0.0259626009091362,-0.0322706105001296,22.3019456454251,23.4374028114257,28.1271352689329,1,7,1,2,0,0,99.06,0.166666666666667,5.78,5,0,1,0,1,0,0.111111111111111,2.31906588620594,3.13341122037953,0,2.60102270204339,10.2689127544022,0,4.77950978234626,0,0.8,40.09,2.04731792073566,0,15.8754263101902,12,0,0,16,0,2.23,2,28.937,4
"11",0.407407464739855,-0.297962908666768,0.164859709275567,-0.0793410110974145,-0.0153220596461891,21.3019456454251,22.4374028114257,23.9635650458826,1,8,0,1,0,0,94.06,0.0909090909090909,5.55102040816327,4,0,1,0,1,0,0,1.17598420034013,1.54066956768309,0,4.38830213797617,10.2549490070175,0,2.96856983150726,0,0.8,40.09,2.05842389130127,0,15.8788130639147,12,0,0,16,0,2.12,2,27.177,4
"13",0.606456191265607,-0.45491149566929,0.228411501327699,-0.0689269179584348,-0.0674667173139888,27.3060339235104,26.600973034476,34.0386725366888,1,7,1,2,0,0,109.08,0.166666666666667,6.24567474048443,4,0,1,0,3,0,0,1.15010148027255,1.58236946437791,0.125,4.41459695277852,9.90998676763199,1.65096362444731,3.26014378597247,0,0.8,40.09,2.03251817067667,0,15.8934198788839,12,0,3,16,0,2.01,3,30.051,4
"14",0.315322344692256,-0.2294421396306,0.134659504804705,-0.0675413070107029,-0.00546654042875162,31.5128514142312,28.8073883393386,34.3306421728782,2,8,0,1,3,1,163.06,0.333333333333333,6.48148148148148,2,0,0,0,0,1,0,1.36964340887274,1.81689913971462,0,6.13433525975685,14.8127519327561,0,5.34359098022515,0,1,40.09,2.05752978543133,0,16.1086913869678,6,5,0,16,0,2.56,4,35.84,4
